Date,AAPL,MSFT,SPY
2019-01-03,-0.10491872691943849,-0.03750384748136971,-0.024201059815071174
2019-01-04,0.04177462641601313,0.04555524829010267,0.03301509112730248
2019-01-07,-0.00229322834025666,0.0012803586336743032,0.007913984245328355
2019-01-08,0.018873570308311802,0.007134091151768039,0.0092525554458199
2019-01-09,0.01690080079602521,0.014374701585092348,0.004754631864123696
2019-01-10,0.0032054985044450224,-0.006473723390832637,0.003510743783415462
2019-01-11,-0.009796130880521687,-0.007900978194259781,0.0004087141314457572
2019-01-14,-0.015091684945390926,-0.007234921023274765,-0.006174018792173138
2019-01-15,0.020256476525003016,0.028261023742281965,0.01137053388446301
2019-01-16,0.012124330192416745,0.003542833409786276,0.002431882099798225
2019-01-17,0.005848790265095564,0.00715021955283023,0.007574837380448478
2019-01-18,0.006076828938072435,0.015102639729213121,0.013227022982005654
2019-01-22,-0.022678805863450325,-0.01930670931475544,-0.013591823509351227
2019-01-23,0.003955093476460747,0.009857040976042229,0.002044519265770889
2019-01-24,-0.007838029488563377,-0.0049733247805617475,0.0005606741625882606
2019-01-25,0.03263375552028867,0.009328295975607751,0.008488746596918915
2019-01-28,-0.009368656655204335,-0.020021114102183254,-0.007648324329365044
2019-01-29,-0.010335012996520246,-0.020377597021254107,-0.0014010964301422939
2019-01-30,0.06599475808018042,0.03281738460089739,0.015696627830134296
2019-01-31,0.007270534667431274,-0.01827470608501247,0.00872533219954274
2019-02-01,0.0004205569293336619,-0.016075430817514502,0.0004981645597698124
2019-02-04,0.028085478768168783,0.028312658298117074,0.007090252070847569
2019-02-05,0.01688765579762621,0.014083932921772405,0.004154259432463982
2019-02-06,0.000358586403309939,-0.011353299296705822,-0.0013248994126002364
2019-02-07,-0.01910358511806004,-0.0073591446952158916,-0.009601243441619552
2019-02-08,0.0012035008370931525,0.003935899898448529,0.0012031708057259499
2019-02-11,-0.005827510865704877,-0.004134513735831842,0.0005949324967863039
2019-02-12,0.00857957389658893,0.01582926914331066,0.012778575672811994
