Date,AAPL,MSFT,SPY
2019-07-22,49.83,131.516,272.727
2019-07-23,50.2181,132.347,274.689
2019-07-24,50.1767,133.686,275.971
2019-07-25,49.7817,133.186,274.66
2019-07-26,49.9533,134.29,276.507
2019-07-29,50.4232,133.989,275.99
2019-07-30,50.2045,133.344,275.299
2019-07-31,51.2283,129.486,272.294
2019-08-01,50.1187,131.156,269.931
2019-08-02,49.0583,130.063,267.903
2019-08-05,46.4931,125.598,259.834
2019-08-06,47.3709,127.971,263.493
2019-08-07,47.8659,128.519,263.641
2019-08-08,48.9183,131.958,268.804
2019-08-09,48.5163,130.824,266.984
2019-08-12,48.3922,129.016,263.78
2019-08-13,50.4427,131.675,267.844
2019-08-14,48.9399,127.728,259.912
2019-08-15,48.6978,127.434,260.61
2019-08-16,49.8457,129.759,264.438
2019-08-19,50.772,131.938,267.644
2019-08-20,50.774,130.834,265.595
2019-08-21,51.328,132.307,267.751
2019-08-22,51.2833,131.332,267.664
2019-08-23,48.9125,127.161,260.792
2019-08-26,49.8427,129.125,263.661
2019-08-27,49.2828,129.406,262.638
2019-08-28,49.6074,129.233,264.477
2019-08-29,50.4526,131.665,267.874
2019-08-30,50.3886,131.41,267.751
2019-09-03,49.6494,129.672,266.172
2019-09-04,50.4961,131.185,269.192
2019-09-05,51.4826,133.511,272.66
2019-09-06,51.4766,132.593,272.859
2019-09-09,51.6944,131.078,272.996
2019-09-10,52.3054,129.71,272.937
2019-09-11,53.9711,129.75,274.9
2019-09-12,53.8478,131.078,275.836
2019-09-13,52.8011,130.894,275.646
2019-09-16,53.0789,129.945,274.813
2019-09-17,53.2761,130.959,275.484
2019-09-18,53.769,132.046,275.656
2019-09-19,53.3392,134.488,275.636
2019-09-20,52.5586,132.923,274.344
2019-09-23,52.7934,132.631,274.277
2019-09-24,52.5468,130.95,272.115
2019-09-25,53.356,132.845,273.733
2019-09-26,53.076,133.013,273.158
2019-09-27,52.8189,131.284,271.704
2019-09-30,54.0608,132.524,272.947
2019-10-01,54.2124,130.657,269.712
2019-10-02,52.8505,128.343,264.945
2019-10-03,53.3059,129.905,267.118
2019-10-04,54.7921,131.665,270.716
2019-10-07,54.8046,130.707,269.558
2019-10-08,54.1661,129.34,265.386
2019-10-09,54.7977,131.772,267.893
2019-10-10,55.5398,132.593,269.712
2019-10-11,57.0151,133.149,272.497
2019-10-14,56.9325,133.023,272.183
2019-10-15,56.8011,134.946,274.909
2019-10-16,56.5747,133.842,274.459
2019-10-17,56.7914,133.159,275.245
2019-10-18,57.0644,130.979,274.057
2019-10-21,58.0511,131.958,275.905
2019-10-22,57.9228,129.985,275.004
2019-10-23,58.6994,130.815,275.809
2019-10-24,58.7979,133.402,276.257
2019-10-25,59.5203,134.155,277.379
2019-10-28,60.1145,137.446,278.958
2019-10-29,58.7269,136.156,278.87
2019-10-30,58.7191,137.846,279.733
2019-10-31,60.0455,136.666,278.985
2019-11-01,61.7486,136.988,281.57
2019-11-04,62.1545,137.787,282.701
2019-11-05,62.0637,137.699,282.394
2019-11-06,62.0914,137.319,282.461
2019-11-07,62.8109,137.515,283.446
